TITLE,ARTISTS
outbreak,Zomboy | Zomboy & Armanni Reign
pony (eliminate remix),"Valentino Khan | Valentino Khan, Eliminate"
pressure (valentino khan remix),"RL Grime, Anna Lunoe | RL Grime, Anna Lunoe, Valentino Khan"
rave review (dodge & fuski remix),"Skism, Dodge, Fuski, Dodge & Fuski | SKisM, Dodge & Fuski"
rave,Zeds dead | Zeds Dead
sports mode,RedLight | Redlight
fourth impact,"Rezz & K?D | Rezz, KiD"
road rage (go stoopid) (ft. bok nero),"Ricky Remedy | Ricky Remedy, Bok Nero"
rise (aweminus remix),"Svdden Death, Aweminus | SVDDEN DEATH, Aweminus"
ruckus the jam,Zeds dead | Zeds Dead
ruff,"Teknian, Davr | Teknian"
savceboys,"Svdden Death, Oolacile, UBUR | SVDDEN DEATH, Oolacile, & UBUR"
side effects,"Mariah Carey | Mariah Carey, Crystal Johnson, Young Jeezy"
zoom (krimer remix),"Spag Heddy, Krimer | Spag Heddy"
stars tonight,"Zeds dead, Droeloe | Zeds Dead, DROELOE"
survivors,Zomboy & Must Die! | Zomboy & MUST DIE!
symphony,"Zeds dead, Charlotte OC | Zeds Dead"
tayf (ghost),"Mashrou' Leila | Mashrou' Leila, Mashrou Leila"
the sermon,"Tchami & Malaa | Malaa & Tchami, Malaa, Tchami"
terror squad (bro safari & ricky remedy remix),"Zomboy, Bro Safari, Ricky Remedy, Bro Safari & Ricky Remedy | Zomboy, Bro Safari & Ricky Remedy"
stay (virtual riot edit),"The Kid LAROI, Justin Bieber, Virtual Riot | The Kid LAROI, SVDDEN DEATH, Virtual Riot"
this feeling,"The Chainsmokers | The Chainsmokers, Kelsea Ballerini"
touch the sky,"Kanye West, Lupe Fiasco | Kanye West"
voidless,"TYNAN & thook | Tynan, Thook"
